Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67
1,Excel,complete,openFile,Sheet1,2019-02-19T03:38:31.823+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:38:31.823+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:38:37.593+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:38:49.944+11:00,confirm,Web,complete,clickButton,2019-02-19T03:39:01.809+11:00,Web,complete,waitResponse,2019-02-19T03:39:05.388+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:39:10.568+11:00,B2,Web,complete,clickButton,2019-02-19T03:39:13.476+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:39:17.234+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:39:18.815+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:39:19.755+11:00,copy,B,Melbourne 123,Excel
2,complete,2019-02-19T03:39:22.607+11:00,Area,Melbourne 123,Web,complete,paste,2019-02-19T03:39:25.435+11:00,OK,Web,complete,clickButton,2019-02-19T03:39:27.991+11:00,2,Excel,complete,openFile,Sheet1,2019-02-19T03:39:37.991+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:39:43.468+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:39:45.606+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:39:56.848+11:00,confirm,Web,complete,clickButton,2019-02-19T03:39:57.534+11:00,Web,complete,waitResponse,2019-02-19T03:40:00.064+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:40:07.873+11:00,B2,Web,complete,clickButton,2019-02-19T03:40:10.230+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:40:14.607+11:00,copy,B,Au 58124829 XT
3,Excel,complete,openFile,Sheet1,2019-02-19T03:40:43.939+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:40:56.768+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:41:02.969+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:41:07.540+11:00,confirm,Web,complete,clickButton,2019-02-19T03:41:13.714+11:00,Web,complete,waitResponse,2019-02-19T03:41:16.310+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:41:29.862+11:00,B2,Web,complete,clickButton,2019-02-19T03:41:34.086+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:41:36.443+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:41:39.826+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:41:42.364+11:00,copy,B,Melbourne 123,Excel
4,Excel,complete,openFile,Sheet1,2019-02-19T03:42:02.569+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:42:06.828+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:42:14.084+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:42:19.956+11:00,confirm,Web,complete,clickButton,2019-02-19T03:42:26.675+11:00,Web,complete,waitResponse,2019-02-19T03:42:29.073+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:42:35.523+11:00,B2,Web,complete,clickButton,2019-02-19T03:42:38.116+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:42:40.848+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:42:42.893+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:42:45.547+11:00,copy,B,Melbourne 123,Excel
5,Excel,complete,openFile,Sheet1,2019-02-19T03:43:02.809+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:43:06.573+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:43:20.301+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:43:30.698+11:00,confirm,Web,complete,clickButton,2019-02-19T03:43:45.997+11:00,Web,complete,waitResponse,2019-02-19T03:43:49.175+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:44:05.259+11:00,B2,Web,complete,clickButton,2019-02-19T03:44:07.995+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:44:09.282+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:44:12.366+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:44:15.607+11:00,copy,B,Melbourne 123,Excel
6,Excel,complete,openFile,Sheet1,2019-02-19T03:44:34.632+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:44:34.632+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:44:45.068+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:44:49.578+11:00,confirm,Web,complete,clickButton,2019-02-19T03:44:51.744+11:00,Web,complete,waitResponse,2019-02-19T03:44:56.251+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:45:10.758+11:00,B2,Web,complete,clickButton,2019-02-19T03:45:13.692+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:45:16.051+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:45:19.197+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:45:21.490+11:00,copy,B,Melbourne 123,Excel
7,Excel,complete,openFile,Sheet1,2019-02-19T03:45:38.102+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:45:50.640+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:45:50.640+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:46:00.786+11:00,confirm,Web,complete,clickButton,2019-02-19T03:46:13.664+11:00,Web,complete,waitResponse,2019-02-19T03:46:16.307+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:46:17.209+11:00,B2,Web,complete,clickButton,2019-02-19T03:46:21.916+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:46:26.083+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:46:27.547+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:46:32.822+11:00,copy,B,Melbourne 123,Excel
8,Excel,complete,openFile,Sheet1,2019-02-19T03:46:51.568+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:47:04.660+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:47:09.615+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:47:13.054+11:00,confirm,Web,complete,clickButton,2019-02-19T03:47:21.994+11:00,Web,complete,waitResponse,2019-02-19T03:47:25.652+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:47:28.193+11:00,B2,Web,complete,clickButton,2019-02-19T03:47:30.351+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:47:31.930+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:47:33.891+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:47:36.944+11:00,copy,B,Melbourne 123,Excel
9,Excel,complete,openFile,Sheet1,2019-02-19T03:47:56.521+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:48:12.353+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:48:26.711+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:48:35.531+11:00,confirm,Web,complete,clickButton,2019-02-19T03:48:44.657+11:00,Web,complete,waitResponse,2019-02-19T03:48:48.548+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:48:57.431+11:00,B2,Web,complete,clickButton,2019-02-19T03:48:59.564+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:49:02.609+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:49:05.183+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:49:08.344+11:00,copy,B,Melbourne 123,Excel
10,Excel,complete,openFile,Sheet1,2019-02-19T03:49:32.591+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:49:45.013+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:49:57.345+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:50:05.545+11:00,confirm,Web,complete,clickButton,2019-02-19T03:50:12.791+11:00,Web,complete,waitResponse,2019-02-19T03:50:15.638+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:50:21.119+11:00,B2,Web,complete,clickButton,2019-02-19T03:50:24.140+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:50:28.773+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:50:30.847+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:50:33.142+11:00,copy,B,Melbourne 123,Excel
