Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,Paremeter63,Paremeter64,Paremeter65,Paremeter66,Paremeter67,Paremeter68,Paremeter69,Paremeter70,Paremeter71,Paremeter72,Paremeter73
1,userID,ID1743,Web,complete,insertValue,2019-02-21T06:50:41.050+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:50:41.050+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:50:46.820+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:50:59.171+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:51:11.036+11:00,confirm,Web,complete,clickButton,2019-02-21T06:51:21.927+11:00,Web,complete,waitResponse,2019-02-21T06:51:24.363+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:51:40.159+11:00,B2,Web,complete,clickButton,2019-02-21T06:51:43.599+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:51:47.509+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:51:50.362+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:51:53.643+11:00,copy,B,Melbourne 123,Excel
2,complete,2019-02-21T06:51:55.736+11:00,Area,Melbourne 123,Web,complete,paste,2019-02-21T06:51:57.940+11:00,OK,Web,complete,clickButton,2019-02-21T06:52:01.463+11:00,2,userID,ID206,Web,complete,insertValue,2019-02-21T06:52:11.463+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:52:17.149+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:52:31.319+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:52:41.406+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:52:44.349+11:00,confirm,Web,complete,clickButton,2019-02-21T06:52:50.964+11:00,Web,complete,waitResponse,2019-02-21T06:52:54.688+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:53:05+11:00,B2,Web,complete,clickButton,2019-02-21T06:53:08.046+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:53:11.990+11:00,copy,B,Au 58124829 XT
3,userID,ID1188,Web,complete,insertValue,2019-02-21T06:53:38.748+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:53:44.724+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:53:58.276+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:54:12.395+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:54:17.180+11:00,confirm,Web,complete,clickButton,2019-02-21T06:54:27.094+11:00,Web,complete,waitResponse,2019-02-21T06:54:29.632+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:54:34.382+11:00,B2,Web,complete,clickButton,2019-02-21T06:54:35.596+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:54:39.331+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:54:41.821+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:54:45.121+11:00,copy,B,Melbourne 123,Excel
4,userID,ID981,Web,complete,insertValue,2019-02-21T06:55:03.343+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:55:07.762+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:55:12.764+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:55:17.750+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:55:22.870+11:00,confirm,Web,complete,clickButton,2019-02-21T06:55:27.083+11:00,Web,complete,waitResponse,2019-02-21T06:55:29.681+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:55:33.445+11:00,B2,Web,complete,clickButton,2019-02-21T06:55:37.591+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:55:41.071+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:55:45.531+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:55:48.709+11:00,copy,B,Melbourne 123,Excel
5,userID,ID1723,Web,complete,insertValue,2019-02-21T06:56:07.349+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:56:15.765+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:56:24.967+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:56:35.402+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:56:40.065+11:00,confirm,Web,complete,clickButton,2019-02-21T06:56:49.089+11:00,Web,complete,waitResponse,2019-02-21T06:56:50.356+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:56:59.860+11:00,B2,Web,complete,clickButton,2019-02-21T06:57:03.352+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:57:05.058+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:57:08.689+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:57:11.733+11:00,copy,B,Melbourne 123,Excel
6,userID,ID343,Web,complete,insertValue,2019-02-21T06:57:29.266+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:57:32.826+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:57:39.336+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:57:49.308+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:58:01.319+11:00,confirm,Web,complete,clickButton,2019-02-21T06:58:06.542+11:00,Web,complete,waitResponse,2019-02-21T06:58:09.295+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:58:15.510+11:00,B2,Web,complete,clickButton,2019-02-21T06:58:17.091+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:58:21.798+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:58:25.965+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:58:27.429+11:00,copy,B,Melbourne 123,Excel
7,userID,ID1980,Web,complete,insertValue,2019-02-21T06:58:49.499+11:00,Excel,complete,openFile,Sheet1,2019-02-21T06:58:52.250+11:00,data.xls,Web,complete,goToUrl,2019-02-21T06:59:05.342+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T06:59:10.297+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T06:59:13.736+11:00,confirm,Web,complete,clickButton,2019-02-21T06:59:22.676+11:00,Web,complete,waitResponse,2019-02-21T06:59:26.334+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T06:59:35.518+11:00,B2,Web,complete,clickButton,2019-02-21T06:59:39.493+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T06:59:42.255+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T06:59:44.274+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T06:59:45.896+11:00,copy,B,Melbourne 123,Excel
8,userID,ID160,Web,complete,insertValue,2019-02-21T07:00:04.734+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:00:22.973+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:00:28.481+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:00:31.390+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:00:31.390+11:00,confirm,Web,complete,clickButton,2019-02-21T07:00:34.222+11:00,Web,complete,waitResponse,2019-02-21T07:00:34.800+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:00:40.670+11:00,B2,Web,complete,clickButton,2019-02-21T07:00:43.831+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:00:48.295+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:00:53.568+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:00:58.078+11:00,copy,B,Melbourne 123,Excel
9,userID,ID1971,Web,complete,insertValue,2019-02-21T07:01:18.870+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:01:26.116+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:01:33.348+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:01:38.829+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:01:46.933+11:00,confirm,Web,complete,clickButton,2019-02-21T07:02:03.094+11:00,Web,complete,waitResponse,2019-02-21T07:02:05.168+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:02:16.644+11:00,B2,Web,complete,clickButton,2019-02-21T07:02:19.174+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:02:21.429+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:02:25.622+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:02:28.611+11:00,copy,B,Melbourne 123,Excel
10,userID,ID973,Web,complete,insertValue,2019-02-21T07:02:45.680+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:02:47.522+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:03:02.299+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:03:09.610+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:03:19.688+11:00,confirm,Web,complete,clickButton,2019-02-21T07:03:33.104+11:00,Web,complete,waitResponse,2019-02-21T07:03:36.785+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:03:48.965+11:00,B2,Web,complete,clickButton,2019-02-21T07:03:50.062+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:03:51.322+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:03:54.768+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:03:57.888+11:00,copy,B,Melbourne 123,Excel
