Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Excel,complete,openFile,Sheet1,2019-02-21T16:06:51.688+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:06:58.215+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:07:10.152+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:07:21.069+11:00,confirm,Web,complete,clickButton,2019-02-21T16:07:24.905+11:00,Web,complete,waitResponse,2019-02-21T16:07:28.181+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:07:40.962+11:00,B2,Web,complete,clickButton,2019-02-21T16:07:43.354+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:07:46.688+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:07:50.709+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Excel,complete,openFile,Sheet1,2019-02-21T16:09:25.773+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:09:32.028+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:09:41.660+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:09:52.445+11:00,confirm,Web,complete,clickButton,2019-02-21T16:09:57.854+11:00,Web,complete,waitResponse,2019-02-21T16:10:01.600+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:10:06.864+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:10:09.363+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:10:13.656+11:00,cancel,Web,complete,clickButton,2019-02-21T16:10:17.852+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Excel,complete,openFile,Sheet1,2019-02-21T16:10:27.852+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:10:42.694+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:10:46.111+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:10:46.257+11:00,confirm,Web,complete,clickButton,2019-02-21T16:10:58.189+11:00,Web,complete,waitResponse,2019-02-21T16:11:02.673+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:11:10.653+11:00,B2,Web,complete,clickButton,2019-02-21T16:11:14.016+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:11:18.235+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:11:21.430+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Excel,complete,openFile,Sheet1,2019-02-21T16:11:46.580+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:12:03.128+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:12:14.066+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:12:16.152+11:00,confirm,Web,complete,clickButton,2019-02-21T16:12:21.962+11:00,Web,complete,waitResponse,2019-02-21T16:12:27.056+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:12:34.409+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:12:37.395+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:12:39.830+11:00,cancel,Web,complete,clickButton,2019-02-21T16:12:42.726+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Excel,complete,openFile,Sheet1,2019-02-21T16:12:52.726+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:12:57.139+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:13:08.944+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:13:15.528+11:00,confirm,Web,complete,clickButton,2019-02-21T16:13:23.313+11:00,Web,complete,waitResponse,2019-02-21T16:13:25.953+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:13:33.908+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:13:35.676+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:13:46.745+11:00,confirm,Web,complete,clickButton,2019-02-21T16:13:55.513+11:00,Web,complete,waitResponse,2019-02-21T16:13:58.048+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Excel,complete,openFile,Sheet1,2019-02-21T16:14:38.545+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:14:38.545+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:14:42.692+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:14:52.754+11:00,confirm,Web,complete,clickButton,2019-02-21T16:15:03.739+11:00,Web,complete,waitResponse,2019-02-21T16:15:06.876+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:15:14.619+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:15:16.626+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:15:19.933+11:00,cancel,Web,complete,clickButton,2019-02-21T16:15:22.534+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Excel,complete,openFile,Sheet1,2019-02-21T16:15:32.534+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:15:44.686+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:15:57.462+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:16:06.950+11:00,confirm,Web,complete,clickButton,2019-02-21T16:16:21.536+11:00,Web,complete,waitResponse,2019-02-21T16:16:25.882+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:16:36.912+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:16:38.994+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:16:42.554+11:00,cancel,Web,complete,clickButton,2019-02-21T16:16:44.703+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Excel,complete,openFile,Sheet1,2019-02-21T16:16:54.703+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:17:10.512+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:17:10.512+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:17:16.364+11:00,confirm,Web,complete,clickButton,2019-02-21T16:17:32.916+11:00,Web,complete,waitResponse,2019-02-21T16:17:34.543+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:17:49.023+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:17:56.217+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:18:07.478+11:00,confirm,Web,complete,clickButton,2019-02-21T16:18:15.294+11:00,Web,complete,waitResponse,2019-02-21T16:18:18.655+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Excel,complete,openFile,Sheet1,2019-02-21T16:18:59.100+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:19:09.169+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:19:19.953+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:19:28.363+11:00,confirm,Web,complete,clickButton,2019-02-21T16:19:41.039+11:00,Web,complete,waitResponse,2019-02-21T16:19:44.610+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:19:53.809+11:00,B2,Web,complete,clickButton,2019-02-21T16:19:56.297+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:19:57.265+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:20:01.588+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Excel,complete,openFile,Sheet1,2019-02-21T16:20:23.736+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:20:34.553+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:20:40.290+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:20:49.206+11:00,confirm,Web,complete,clickButton,2019-02-21T16:20:58.628+11:00,Web,complete,waitResponse,2019-02-21T16:21:00.415+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:21:03.515+11:00,B2,Web,complete,clickButton,2019-02-21T16:21:08.513+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:21:13.921+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:21:16.873+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
